Lufttemperatur 2m °C,Windgeschw 10m m/s,Relative Feuchte,Globale Strahlung W/m^2,Absolute Feuchte g/kg,Luftdruck hPa
1.9,0.3,0.95,0,4.2,990
1.2,0.4,0.97,0,4.1,990
0.6,0.5,0.98,0,4,989
0.7,0.5,0.98,0,4,990
0.7,0.6,0.98,0,4,990
0.7,0.4,0.98,0,4,990
0.9,0.8,0.97,0,4,990
0.8,0.9,0.96,0,4,990
0.6,0.9,0.99,0,4,990
1.3,0.1,0.99,42,4.1,991
1.7,0.3,0.99,79,4.3,991
2.4,0.2,0.97,116,4.4,991
2.4,0.5,0.96,104,4.4,991
2.6,0.6,0.94,70,4.4,991
2.5,1.1,0.93,55,4.4,990
2.1,0.9,0.93,28,4.3,990
1.9,0.5,0.92,2,4.1,991
1.8,0.8,0.92,0,4.1,991
1.6,0.8,0.92,0,4,991
1.2,0.7,0.93,0,4,992
0.8,1.1,0.94,0,3.9,992
0.9,1.3,0.94,0,3.9,992
0.9,1.2,0.93,0,3.8,992
1,0.9,0.91,0,3.8,992
1.1,1.1,0.91,0,3.8,992
1.2,1.1,0.92,0,3.9,992
1.1,1.5,0.93,0,3.9,993
1.4,2,0.92,0,3.9,993
1.2,1.9,0.92,0,3.9,993
1,1.5,0.93,0,3.9,994
0.9,1.6,0.93,0,3.9,994
0.9,2,0.93,0,3.8,995
1.1,1.7,0.92,0,3.8,995
1.1,1.7,0.92,33,3.9,996
1.5,2,0.92,76,3.9,997
1.8,1.7,0.9,103,3.9,998
2.4,2.1,0.87,108,3.9,999
2.5,2.1,0.84,92,3.8,999
2.4,1.7,0.84,73,3.8,1000
1.2,1.2,0.86,51,3.7,1000
-0.5,1.1,0.88,9,3.5,1001
-0.9,1.3,0.9,0,3.3,1002
-0.8,1.2,0.92,0,3.3,1003
-2.2,0.8,0.95,0,3.3,1004
-1.6,0.5,0.97,0,3.2,1005
-1.7,0.7,0.97,0,3.3,1006
-1,0.6,0.98,0,3.4,1007
-0.8,0.5,0.98,0,3.5,1007
-0.8,0.1,0.98,0,3.5,1008
-0.6,0.1,0.98,0,3.6,1008
-0.5,0,0.98,0,3.6,1009
-0.6,0.1,0.98,0,3.6,1009
-0.6,0.1,0.99,0,3.6,1009
-0.5,0.1,0.98,0,3.6,1010
-0.5,0.1,0.98,0,3.6,1010
-0.6,0.1,0.98,0,3.6,1011
-0.6,0.7,1,0,3.6,1011
-0.4,0.4,1,37,3.7,1011
0.1,0.1,0.99,76,3.7,1012
0.5,0.3,0.97,73,3.8,1012
0.8,0.4,0.96,62,3.8,1012
0.8,0.3,0.95,69,3.8,1012
0.8,0.3,0.94,51,3.8,1012
1,0.7,0.92,25,3.7,1012
0.9,1.7,0.91,2,3.7,1012
0.9,1.3,0.93,0,3.8,1012
0.8,1.5,0.94,0,3.8,1012
0.9,0.9,0.95,0,3.8,1012
0.7,0.8,0.95,0,3.8,1013
0.8,1,0.96,0,3.8,1013
1.1,1.1,0.95,0,3.9,1013
1.1,1.4,0.94,0,3.9,1013
1,2,0.94,0,3.8,1013
0,1.7,0.94,0,3.7,1012
-0.3,1.3,0.93,0,3.5,1011
-2.2,1.2,0.95,0,3.3,1011
-0.6,1.6,0.98,0,3.4,1011
-1.4,2.6,0.98,0,3.5,1010
-0.5,2.7,0.96,0,3.4,1009
-0.5,2.6,0.93,0,3.4,1009
-0.5,2.4,0.94,0,3.4,1009
-0.1,2.3,0.94,64,3.5,1008
0.7,2.6,0.91,143,3.5,1008
1.7,2.8,0.83,213,3.5,1008
1.7,2.9,0.77,258,3.3,1007
2,2.7,0.74,235,3.2,1006
1.1,3.5,0.71,189,3,1005
0.6,2.7,0.73,80,3,1004
0.1,2.6,0.77,6,3,1004
-0.3,2.4,0.8,0,3,1003
0.1,2.7,0.79,0,3,1003
-0.3,2.6,0.78,0,3,1002
-0.9,3.4,0.79,0,2.9,1002
-0.9,3.2,0.79,0,2.8,1001
-1,3.2,0.78,0,2.8,1001
-1.2,3,0.78,0,2.7,1000
-1.4,2.7,0.78,0,2.7,999
-1.3,1.9,0.79,0,2.8,999
-1.6,2.1,0.79,0,2.7,999
-1.6,2.5,0.79,0,2.7,998
-1.6,2.6,0.77,0,2.6,997
-1.8,1.4,0.77,0,2.6,996
-2.3,1.9,0.79,0,2.6,996
-2.5,1.7,0.8,0,2.6,996
-2.4,2.2,0.79,0,2.5,996
-1.9,2.6,0.78,59,2.6,996
-1.6,3.8,0.75,151,2.5,995
-0.3,2.7,0.72,214,2.6,995
0.8,2.9,0.68,225,2.7,994
0.1,3.4,0.66,160,2.6,993
0.4,3.8,0.64,131,2.5,992
0.8,3.8,0.64,75,2.6,992
-0.8,3.7,0.67,10,2.6,991
-1.3,4,0.7,0,2.5,992
-1.9,2.6,0.72,0,2.5,991
-2.4,2.5,0.72,0,2.4,991
-2.4,3.5,0.72,0,2.3,991
-3,4.3,0.73,0,2.3,991
-2.9,3.8,0.72,0,2.2,991
-3.3,2.3,0.71,0,2.2,991
-3.5,3,0.72,0,2.2,991
-3.8,2.6,0.73,0,2.2,991
-4,2.5,0.74,0,2.1,990
-4.2,2.2,0.74,0,2.1,990
-4.5,2.2,0.74,0,2.1,990
-4.6,2,0.75,0,2.1,990
-4.8,3.1,0.76,0,2.1,990
-4.6,3,0.76,0,2.1,990
-4.8,3.2,0.76,0,2.1,990
-4.2,3.6,0.76,17,2.1,990
-3.5,3.7,0.74,62,2.1,990
-3.1,3.9,0.72,77,2.2,990
-2.5,3.1,0.71,37,2.2,989
-2.9,3.2,0.74,40,2.4,989
-2.7,3.4,0.81,61,2.6,988
-2.3,3.2,0.85,32,2.7,988
-2.6,3.2,0.86,4,2.8,988
-2.8,3.2,0.86,0,2.8,987
-2.3,2.9,0.87,0,2.8,987
-2.1,3.1,0.87,0,2.9,986
-2.2,3.8,0.86,0,2.9,986
-2.5,3.3,0.88,0,2.9,985
-2.4,2.6,0.88,0,2.9,984
-2.2,2.2,0.88,0,2.9,984
-1.9,2.4,0.88,0,2.9,983
-1.1,1.3,0.86,0,3,983
-0.6,1.9,0.84,0,3.1,982
-0.7,1.8,0.9,0,3.3,981
1.4,3,0.91,0,3.7,981
1.3,2.5,0.89,0,3.8,981
1.5,3.6,0.9,0,3.9,981
3.2,2.3,0.9,0,4.2,982
4.6,2.4,0.9,0,4.6,982
4.9,2.4,0.89,23,4.9,983
5.7,2.1,0.88,67,5,984
5.7,2.5,0.88,113,5.1,984
9.1,2.5,0.84,155,5.5,985
8.9,3.3,0.8,110,5.9,986
8.7,1.8,0.8,67,5.8,986
8.9,2.3,0.8,28,5.8,987
7,2.6,0.83,0,5.7,988
6.6,3.1,0.86,0,5.4,989
7.2,2,0.85,0,5.4,990
6.4,1.2,0.86,0,5.4,991
6.4,2,0.86,0,5.2,992
5.8,2,0.85,0,5.1,993
5.9,1.2,0.86,0,5,995
5,1.5,0.88,0,5,995
5.8,1.2,0.87,0,4.9,996
5.3,1.2,0.85,0,4.9,997
5.4,0.4,0.85,0,4.8,996
4.4,1.5,0.88,0,4.8,997
4.3,1.7,0.9,0,4.7,998
3.8,0.6,0.9,0,4.6,998
3.1,0.7,0.92,0,4.5,998
3.6,1,0.93,0,4.5,999
3.5,0.6,0.94,0,4.7,1000
4.6,0,0.93,51,4.8,1000
5.5,1.3,0.91,93,5,1000
7.7,1.6,0.85,145,5.2,1001
7.7,2.3,0.8,168,5.3,1002
7.9,2.3,0.79,166,5.2,1002
9.1,2.6,0.75,166,5.2,1001
6.9,1.4,0.77,100,5.2,1001
6.1,1.1,0.83,12,5,1000
4.5,0.8,0.87,0,4.9,1000
4.4,1.6,0.9,0,4.8,1000
4,3.3,0.91,0,4.7,999
4.1,1.6,0.91,0,4.7,999
4.1,1.9,0.91,0,4.7,999
3.9,2.3,0.92,0,4.7,998
4.3,3.2,0.92,0,4.8,997
4.4,2.5,0.9,0,4.7,997
3.8,4.6,0.89,0,4.6,997
4.6,3.9,0.87,0,4.5,996
5.2,3.2,0.82,0,4.5,994
4.8,4.6,0.8,0,4.4,994
4.5,4.8,0.81,0,4.3,993
4.1,3.9,0.82,0,4.3,992
4.6,5.2,0.82,0,4.3,992
3.8,1.8,0.83,0,4.3,992
4.6,1.7,0.83,16,4.4,992
5.1,1.1,0.8,38,4.4,993
6.1,2.9,0.75,37,4.3,994
6.6,2.3,0.72,42,4.3,994
6.8,2.5,0.7,32,4.4,994
6.7,2.7,0.71,22,4.4,994
6.5,1.5,0.72,15,4.5,994
7.3,1.8,0.74,5,4.7,994
7.9,2.1,0.76,0,5,995
5.7,2.1,0.81,0,5.1,995
6.7,1.3,0.84,0,5.1,996
6.3,2.1,0.83,0,5.1,996
7.5,2.1,0.83,0,5.2,997
6,1.4,0.84,0,5.2,997
5.1,0.5,0.87,0,5,997
5.1,1.7,0.88,0,4.9,997
5.4,0.6,0.88,0,5,997
5.2,1,0.9,0,5.1,997
5.2,0.5,0.92,0,5.2,997
5,0.8,0.94,0,5.2,997
5.5,0.6,0.94,0,5.3,996
5.1,0.8,0.93,0,5.3,996
5.1,1.5,0.93,0,5.2,996
5,0.7,0.92,1,5.1,996
6.1,0.5,0.91,37,5.2,997
6.5,0.5,0.91,71,5.5,998
7.5,1.1,0.88,78,5.6,998
8.2,1.1,0.85,75,5.7,998
7.1,0.6,0.86,85,5.7,998
6.9,0.9,0.89,60,5.6,997
5.8,0.7,0.91,30,5.5,997
6.5,0.6,0.92,13,5.5,997
5.5,0.7,0.94,0,5.6,997
4.7,0.6,0.96,0,5.3,996
5.1,1.3,0.94,0,5.1,996
5.6,0.8,0.92,0,5.2,996
5.9,0.9,0.91,0,5.3,997
4.1,1.8,0.93,0,5.1,996
3.2,1.1,0.94,0,4.7,996
3.2,0.2,0.94,0,4.6,996
2.3,0.1,0.94,0,4.4,995
2.2,0.1,0.95,0,4.3,995
2.7,0.9,0.96,0,4.4,995
3.3,1.3,0.94,0,4.5,995
2.1,2.1,0.92,0,4.3,994
2.9,2.4,0.9,0,4.2,993
2.3,3.8,0.91,0,4.2,993
3.1,3.5,0.93,0,4.4,993
5.7,4.5,0.9,43,4.8,993
5,3,0.88,93,5,994
7.1,3.2,0.84,165,5,994
7,3.3,0.8,103,5.1,994
8.4,2.8,0.76,217,5,993
6.7,3,0.77,174,5.1,993
6.5,2.3,0.81,78,5,992
6.3,2.8,0.82,13,5,992
5.8,2.7,0.84,0,5,991
6.4,1.8,0.84,0,5,991
6.9,2.5,0.82,0,5.1,990
7.7,1.8,0.8,0,5.2,990
6.8,2.6,0.8,0,5.2,990
7.7,1.6,0.8,0,5.2,990
6.7,0.8,0.79,0,5.1,989
6.8,1.3,0.81,0,5.1,989
7.8,1.7,0.84,0,5.4,989
9.6,1.4,0.79,0,5.7,989
8.5,1.3,0.77,0,5.7,989
8,1.2,0.8,0,5.6,990
7.8,1.4,0.82,0,5.6,990
7.8,0.9,0.83,0,5.6,990
7.5,1.3,0.84,0,5.6,991
7.6,2.2,0.84,0,5.6,991
8.8,1.6,0.81,33,5.6,991
8.1,0.6,0.82,90,5.7,992
8.4,0.7,0.83,104,5.8,993
10.6,1.5,0.77,142,5.8,993
10.2,1.5,0.73,132,5.8,992
9.8,0.8,0.75,101,5.9,993
9.5,0.9,0.79,39,6,993
9.2,1,0.8,5,6,993
9.3,0.8,0.8,0,6,994
8.9,1.7,0.82,0,6,995
8.6,1.9,0.83,0,5.9,995
7.3,2.2,0.87,0,5.9,995
8.9,2.7,0.87,0,6,996
8.9,2,0.84,0,6,996
8.2,1.6,0.84,0,5.9,997
7,0.9,0.88,0,5.8,998
6.3,1.6,0.93,0,5.7,998
5.9,0.2,0.96,0,5.7,999
6.6,1.1,0.95,0,5.7,1000
5.2,1.6,0.94,0,5.5,999
5,0.6,0.97,0,5.4,999
5.6,0.6,0.96,0,5.4,1000
5.8,2.1,0.93,0,5.3,1001
7.2,1.5,0.87,1,5.3,1001
8,2.1,0.81,65,5.3,1003
7.9,1.8,0.8,133,5.4,1004
10.6,2.1,0.76,219,5.6,1005
11.4,2.5,0.68,268,5.6,1005
12.5,3.2,0.64,261,5.6,1005
11.2,1.8,0.64,209,5.6,1005
10.6,2.1,0.68,113,5.6,1005
8.3,0.8,0.74,19,5.5,1006
7.8,1.7,0.8,0,5.4,1006
5.5,0.6,0.86,0,5.3,1006
5.7,0.3,0.9,0,5.1,1007
6.8,0.6,0.83,0,4.9,1007
4.7,0.2,0.84,0,4.9,1007
2.9,0.2,0.95,0,4.8,1008
3.1,0.4,0.98,0,4.6,1008
3.2,0.1,0.95,0,4.6,1008
3.2,0.6,0.94,0,4.5,1009
2.3,0.8,0.94,0,4.4,1008
2.2,1.5,0.96,0,4.3,1009
2.3,1.3,0.97,0,4.4,1009
2.3,0.8,0.95,0,4.3,1009
1.8,0.2,0.95,0,4.2,1008
2,0.9,0.96,0,4.2,1009
1.7,0.4,0.96,1,4.2,1009
2.4,0.4,0.98,67,4.3,1009
4,0.3,0.95,130,4.5,1009
4.6,2,0.92,191,4.8,1009
6.5,2.2,0.87,253,4.9,1009
7.3,1.6,0.81,241,5,1009
6.4,2,0.79,194,4.9,1009
5.5,2.5,0.81,104,4.7,1008
3.5,2.9,0.84,18,4.4,1009
2.8,3.3,0.87,0,4.2,1009
1.7,4.2,0.9,0,4,1009
1.9,2.7,0.92,0,4,1010
1.8,2.2,0.91,0,4,1010
1.9,2.4,0.9,0,3.9,1010
1.3,2.7,0.91,0,3.9,1010
1,2.8,0.93,0,3.9,1011
0.5,2.9,0.94,0,3.8,1011
0.5,2.7,0.94,0,3.7,1011
0.6,2.6,0.95,0,3.7,1012
0.8,2.8,0.94,0,3.8,1012
0.6,2.9,0.95,0,3.8,1012
0.8,2.4,0.95,0,3.8,1013
0.6,2.6,0.95,0,3.8,1013
0.6,2.3,0.96,0,3.8,1013
0.9,2.2,0.96,2,3.9,1014
1.2,1.7,0.97,76,4,1014
2.8,2,0.94,179,4.1,1015
5.1,2,0.85,248,4.3,1015
6,2.4,0.79,257,4.4,1015
7.3,3.6,0.75,229,4.6,1015
7.5,3.2,0.73,193,4.7,1015
7.4,2.7,0.74,111,4.7,1014
5.5,2.5,0.76,20,4.5,1015
1.6,2.8,0.87,0,4.2,1015
2.4,2.5,0.93,0,4.1,1015
2,2.1,0.92,0,4.1,1016
1.8,1.9,0.93,0,4,1016
1.4,1.9,0.94,0,4,1016
0.5,1.8,0.95,0,3.8,1017
-0.3,1.7,0.96,0,3.6,1017
-1.3,1.6,0.97,0,3.4,1015
-2.1,1.5,0.97,0,3.2,1015
-2.7,1.2,0.96,0,3,1015
-2.7,1.2,0.95,0,2.9,1015
-2.6,1.2,0.94,0,2.9,1015
-2.7,1.5,0.92,0,2.8,1015
-2.1,1.1,0.89,0,2.8,1015
-2.8,1,0.89,0,2.8,1015
-2.4,1.3,0.91,8,2.8,1015
-1.4,1.1,0.89,74,2.9,1016
0.2,1.1,0.85,175,3.1,1016
1.3,1.4,0.79,248,3.1,1016
2,1.5,0.75,285,3.2,1016
2.7,1.6,0.72,270,3.2,1016
3.6,1.5,0.65,215,3.1,1016
2.9,1.5,0.63,121,3,1015
1.8,1.6,0.66,19,2.9,1016
0.5,1.1,0.69,0,2.8,1016
0,1,0.72,0,2.8,1016
0.1,1,0.71,0,2.7,1017
-0.3,1.1,0.7,0,2.6,1017
-1,1.2,0.73,0,2.6,1017
-1.2,0.8,0.76,0,2.6,1018
-2.4,1.2,0.8,0,2.6,1018
-2,1.3,0.81,0,2.6,1018
-3.1,1.2,0.82,0,2.6,1018
-3.1,0.7,0.86,0,2.6,1018
-3.3,1.3,0.86,0,2.6,1018
-4.6,0.8,0.89,0,2.5,1018
-4.7,0.2,0.92,0,2.5,1018
-4.5,0.7,0.93,0,2.5,1018
-4,0.9,0.91,0,2.5,1018
-4,0.8,0.9,10,2.5,1018
-1.4,1.2,0.89,81,2.7,1019
2.5,0.9,0.78,175,3.1,1019
2.3,0.5,0.72,230,3.2,1019
4,0.7,0.69,269,3.2,1019
5.2,1.3,0.57,250,3,1019
5.4,1.3,0.53,210,2.9,1018
4.4,1.2,0.57,127,3.1,1018
2.3,0.9,0.62,22,3,1018
0.6,1.2,0.71,0,3,1018
-0.2,1.2,0.77,0,2.9,1019
-0.6,1.1,0.81,0,3,1019
-1.7,0.7,0.84,0,2.9,1019
-1.6,1.1,0.86,0,2.9,1019
-2.8,0.4,0.9,0,2.9,1019
-2.8,0.1,0.94,0,2.9,1019
-3.2,1.3,0.95,0,2.9,1019
-3.2,0.1,0.95,0,2.8,1019
-2.7,0,0.91,0,2.8,1019
-3,0.9,0.89,0,2.7,1018
-1.7,0.3,0.83,0,2.6,1018
-0.8,0.8,0.73,0,2.5,1018
-2.3,0.9,0.74,0,2.5,1018
-2.2,0.9,0.82,0,2.6,1018
-2.5,0.2,0.85,6,2.7,1018
1.1,0.7,0.8,62,2.8,1018
2.1,1.1,0.72,165,3.1,1017
4.1,3.3,0.7,204,3.3,1017
4.2,4.4,0.69,174,3.5,1017
4,4.2,0.72,134,3.6,1016
4.7,4.4,0.73,122,3.8,1016
4.5,3.8,0.73,63,3.8,1015
4.4,4.3,0.74,9,3.8,1015
4,4,0.78,0,4,1014
4.2,4.7,0.84,0,4.3,1014
4.4,4,0.88,0,4.5,1013
4.8,3.5,0.9,0,4.7,1013
4.9,2.7,0.91,0,4.9,1013
5.5,2.8,0.91,0,5,1013
5.5,2.7,0.91,0,5.1,1013
5.4,2.6,0.93,0,5.2,1012
5.5,2.5,0.94,0,5.3,1012
6.8,2.8,0.92,0,5.4,1011
5.9,2.1,0.92,0,5.5,1011
5.8,2.8,0.96,0,5.5,1010
6.5,2.9,0.97,0,5.7,1009
7.4,3.5,0.96,0,6,1008
8.7,3.9,0.93,0,6.3,1007
9,4.2,0.91,2,6.5,1007
9.3,4.6,0.91,18,6.6,1006
10.8,6.2,0.9,44,7,1005
11.1,7.3,0.89,41,7.3,1004
11,7.8,0.9,38,7.4,1003
11.1,7.6,0.89,54,7.4,1002
10.5,7.9,0.89,39,7.3,1002
8.1,4.7,0.91,36,6.7,1002
7.5,3.9,0.92,11,6.1,1004
6.9,3.3,0.9,0,5.8,1004
6.5,3.1,0.88,0,5.4,1005
6.4,3.2,0.87,0,5.3,1005
5.9,3.6,0.88,0,5.2,1005
6.3,2.9,0.87,0,5.2,1005
5.9,3,0.86,0,5.1,1004
5.8,3.1,0.85,0,5,1004
5.8,4.5,0.87,0,5,1003
5.5,5.3,0.87,0,5,1002
3.6,3.5,0.87,0,4.6,1001
4.3,3.9,0.87,0,4.4,1002
4.2,4.4,0.85,0,4.4,1002
3.5,4.3,0.83,0,4.2,1002
3.3,4.5,0.84,0,4.1,1003
3.5,4,0.85,0,4.1,1003
2.6,4.3,0.86,1,4.1,1004
3.3,4.6,0.89,35,4.2,1004
3.6,5.8,0.9,52,4.4,1005
3.8,5.7,0.9,80,4.5,1005
4.1,4.2,0.9,116,4.5,1005
4.2,4,0.89,70,4.6,1004
2.7,2.7,0.9,65,4.4,1004
2.1,2.8,0.93,37,4.2,1004
1.8,1.7,0.94,11,4.2,1003
2,1.7,0.95,0,4.2,1003
2.2,1.3,0.96,0,4.3,1004
2.3,1.6,0.95,0,4.3,1004
1.9,1.2,0.96,0,4.3,1005
1.8,1,0.98,0,4.3,1005
1.5,1.6,0.96,0,4.1,1006
1.9,1.1,0.93,0,4,1006
1.8,0.4,0.93,0,4.1,1006
2.4,1.1,0.93,0,4.2,1006
2.7,1.3,0.94,0,4.3,1005
3,1.5,0.95,0,4.5,1004
3.6,2.1,0.96,0,4.7,1004
5.2,2.3,0.95,0,5,1002
4.8,1.9,0.94,0,5.2,1001
5.1,2.7,0.95,0,5.2,1000
6.5,3.4,0.94,2,5.4,998
6.5,4.6,0.94,30,5.8,998
7.2,5.1,0.97,59,6.1,997
8.5,5.7,0.96,95,6.5,997
8.5,5.7,0.95,77,6.7,996
8.9,5.1,0.95,59,6.8,995
8.7,5.6,0.94,38,6.8,995
8.9,6.2,0.93,15,6.7,995
8.7,6.6,0.91,3,6.5,994
7.9,5.7,0.89,0,6.2,994
6.8,4.2,0.88,0,5.7,994
6.6,3.7,0.87,0,5.4,994
6.7,3.2,0.83,0,5.1,995
6.1,4.3,0.81,0,4.9,995
6.3,5,0.8,0,4.8,996
6.3,5.4,0.77,0,4.7,997
6.5,5.4,0.74,0,4.5,997
6.3,5.2,0.73,0,4.4,999
6,5.5,0.74,0,4.4,999
6.1,5,0.74,0,4.4,999
5.9,4.5,0.73,0,4.3,999
5.8,4.1,0.74,0,4.3,999
5.4,5.1,0.75,0,4.3,999
5.3,5.8,0.75,0,4.2,999
5.3,5.5,0.75,9,4.2,998
5.6,5,0.74,52,4.2,999
5.7,5.4,0.75,53,4.3,998
5.7,4.9,0.77,73,4.5,997
6.1,6.6,0.8,48,4.7,998
7.1,7.4,0.8,34,4.9,997
7.5,7.8,0.79,38,5.1,996
8,7.2,0.78,21,5.2,996
8.4,7.2,0.74,9,5.1,996
8.5,7.5,0.7,0,4.9,997
8.4,7.1,0.67,0,4.7,997
7.2,4.9,0.69,0,4.6,998
6.4,3,0.75,0,4.7,1000
5.8,2.8,0.78,0,4.6,1000
5.3,2.2,0.79,0,4.5,1001
4.5,2.7,0.8,0,4.3,1002
4.8,2.3,0.82,0,4.4,1003
5.3,2.3,0.82,0,4.5,1003
5.1,2.9,0.85,0,4.7,1003
5.4,3.4,0.87,0,4.8,1003
4.8,3.3,0.86,0,4.7,1003
4.9,3,0.86,0,4.6,1004
4.5,2.8,0.87,0,4.7,1004
4.5,3.3,0.88,0,4.7,1004
4.8,3.2,0.86,6,4.6,1004
5,3.2,0.86,52,4.7,1004
5.2,4.3,0.85,64,4.7,1004
5.5,4.3,0.84,163,4.7,1004
5.4,4.3,0.83,168,4.7,1004
5.9,2.8,0.8,154,4.6,1004
6.2,3.7,0.76,120,4.5,1004
4.9,3.5,0.78,50,4.5,1004
4.8,2.7,0.82,27,4.5,1004
4.1,1.6,0.86,0,4.5,1004
4.5,1.9,0.87,0,4.5,1004
3.9,1.8,0.87,0,4.5,1004
3.3,2,0.88,0,4.4,1004
3,1.2,0.89,0,4.3,1005
3,1.5,0.9,0,4.3,1005
2.3,1.2,0.92,0,4.3,1005
2,1.7,0.94,0,4.2,1006
1.4,1.1,0.95,0,4.1,1006
2.1,1.3,0.95,0,4.1,1006
2.1,1.7,0.94,0,4.2,1007
2.6,2.1,0.94,0,4.2,1007
2.7,2.5,0.94,0,4.3,1008
2.2,1.9,0.94,0,4.3,1008
1.5,2.1,0.95,0,4.1,1009
1.9,2,0.96,11,4.1,1009
2.8,1.8,0.96,88,4.3,1010
3.7,2.1,0.94,153,4.5,1010
4.3,2.7,0.92,152,4.7,1010
4.4,2.4,0.9,141,4.7,1010
4.6,2.8,0.89,130,4.7,1010
4.8,2.2,0.87,108,4.6,1010
4.5,1.8,0.86,58,4.6,1010
4.7,1.5,0.84,3,4.4,1010
4.1,1.9,0.82,0,4.3,1010
3.8,1.8,0.82,0,4.2,1010
3.2,1.4,0.85,0,4.2,1010
2.6,1.1,0.88,0,4.1,1010
2.7,1,0.89,0,4.1,1011
3.6,1.5,0.86,0,4.1,1011
2.5,1.6,0.85,0,4,1011
1.6,0.9,0.9,0,3.9,1011
1.9,1.1,0.9,0,3.9,1011
1.3,0.8,0.9,0,3.8,1010
1.1,0.8,0.91,0,3.8,1010
1.9,0.9,0.9,0,3.8,1010
0.5,1.2,0.91,0,3.8,1010
1.5,1.1,0.92,0,3.8,1010
1.2,1.1,0.92,0,3.8,1010
0.5,1.5,0.94,12,3.8,1010
2,2,0.91,90,3.8,1010
3.8,2.4,0.85,120,4,1010
4.2,1.5,0.82,135,4.2,1010
4.3,2.1,0.81,129,4.2,1009
4.8,1.5,0.79,131,4.2,1009
4.9,1.9,0.78,140,4.2,1009
5.2,2.2,0.77,91,4.2,1008
4.3,2,0.78,32,4.2,1008
4.1,2,0.8,0,4.1,1008
4.2,1.3,0.81,0,4.2,1008
3.5,1.7,0.84,0,4.2,1008
3.9,1.8,0.84,0,4.2,1008
3.7,1.4,0.82,0,4.1,1007
2.8,1.7,0.83,0,4,1007
3,1.3,0.83,0,3.9,1007
2.6,1.3,0.85,0,4,1007
3,1.6,0.86,0,4,1007
3.4,1.5,0.84,0,4,1006
3.6,1.6,0.82,0,4,1006
2.8,1.8,0.83,0,4,1006
2.9,1.8,0.84,0,4,1005
3.6,2.1,0.84,0,4,1005
2.2,2,0.82,0,3.9,1005
1.9,2.1,0.82,3,3.6,1005
3.5,2.1,0.82,45,3.8,1005
4.1,2.4,0.82,92,4.1,1005
4.7,2.9,0.8,117,4.2,1005
5.1,2.6,0.79,134,4.3,1004
5.7,2.4,0.79,142,4.4,1004
6.3,1.7,0.77,80,4.5,1003
5.3,2.3,0.75,44,4.3,1003
5,2.7,0.76,16,4.2,1003
3.4,3.2,0.8,0,4.2,1003
3.5,3.7,0.83,0,4.1,1004
3.6,2.8,0.85,0,4.2,1004
4.8,1.3,0.87,0,4.5,1004
4.1,1,0.91,0,4.8,1005
4.2,1.1,0.92,0,4.7,1005
3.1,1.5,0.92,0,4.6,1006
2.8,1.7,0.94,0,4.4,1006
2.4,2,0.93,0,4.3,1007
1.6,1.6,0.94,0,4.1,1007
0.9,1.7,0.96,0,4,1007
0.5,1.6,0.98,0,3.9,1008
0,1.8,0.97,0,3.8,1008
-0.1,2,0.96,0,3.6,1008
-0.2,1.7,0.96,0,3.6,1009
0.4,1.9,0.97,14,3.7,1010
0,2,0.97,104,3.7,1010
3.9,2.2,0.93,206,4.1,1011
5.7,1.9,0.83,275,4.4,1011
6.3,3,0.72,308,4.2,1011
6.7,2.6,0.66,295,3.9,1011
7,2.8,0.62,233,3.8,1011
6,2.4,0.63,125,3.8,1011
5.5,2.5,0.67,28,3.8,1011
3.5,2.2,0.71,0,3.7,1012
3.7,2.9,0.77,0,3.8,1012
2.7,1.8,0.8,0,3.8,1012
1.9,2.9,0.83,0,3.7,1013
0.9,2.4,0.86,0,3.6,1013
-0.1,2.2,0.91,0,3.6,1013
-0.7,2,0.94,0,3.5,1013
-0.5,1.9,0.94,0,3.4,1014
-0.1,2.4,0.93,0,3.5,1014
-0.5,2,0.94,0,3.5,1014
-0.5,2.8,0.95,0,3.5,1014
-0.7,2,0.94,0,3.4,1014
-0.4,2.2,0.93,0,3.4,1014
-1.4,1.9,0.94,0,3.3,1014
-1.6,2.1,0.96,0,3.3,1015
-0.9,1.6,0.96,19,3.3,1015
-0.1,1.4,0.94,119,3.4,1015
1.2,1.8,0.9,230,3.6,1016
2,1.8,0.86,304,3.6,1016
2.6,1.9,0.81,318,3.6,1016
3.2,2,0.76,285,3.6,1016
3.3,1.8,0.73,248,3.5,1016
2.9,1.9,0.73,178,3.4,1016
1.8,1.1,0.76,41,3.4,1016
1,1.3,0.82,0,3.5,1016
1.3,1,0.85,0,3.5,1017
0.9,1.2,0.85,0,3.5,1017
0.4,1.1,0.86,0,3.4,1018
-0.1,1,0.87,0,3.3,1018
-0.3,0.8,0.9,0,3.4,1018
-0.1,0.7,0.92,0,3.5,1018
0.4,0.7,0.94,0,3.6,1030
1,0.7,0.96,0,3.8,1030
1.2,0.8,0.96,0,3.9,1030
1.3,0.9,0.96,0,3.9,1030
1.2,0.9,0.97,0,3.9,1030
1.3,1.1,0.97,0,4,1030
1.2,1.1,0.98,0,4,1029
1.4,0.9,0.98,0,4,1029
1.3,0.5,0.98,7,4,1029
1.6,0.2,0.99,45,4.1,1030
1.9,0.5,1,68,4.2,1030
2.1,0.7,1,93,4.3,1030
2.6,1.1,0.96,106,4.3,1030
2.7,1.2,0.92,135,4.1,1030
3.1,1.1,0.88,197,4.1,1030
