50.908882, 6.404312,supply
50.909685, 6.402807,node
50.909170, 6.403784,node
50.910340, 6.405577,node
50.909750, 6.406569,node
50.908205, 6.405910,node
50.908588, 6.406823,node
50.908368, 6.403544,node
50.907862, 6.404416,node
50.908061, 6.403158,node
50.907850, 6.402845,node
50.907430, 6.403680,node
50.908362, 6.402606,node
50.908269, 6.402424,node
50.908377, 6.402214,node
50.908280, 6.402038,node
50.908580, 6.401515,node
50.909796, 6.404713,node
50.910082, 6.405129,node
50.908428, 6.401749,node
50.908575, 6.403849,node
50.909369, 6.403423,node
50.908586, 6.405008,node







